Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,WeekOfYear
1097,2,2013-01-01,5961,1405,1,0,1,1,1,1,720.0,3.0,2002.0,0,0.0,0.0,None,2013,1,1,1
85,2,2013-01-01,4220,619,1,0,1,1,1,0,1870.0,10.0,2011.0,0,0.0,0.0,None,2013,1,1,1
259,2,2013-01-01,6851,1444,1,0,1,1,1,1,210.0,0.0,0.0,0,0.0,0.0,None,2013,1,1,1
262,2,2013-01-01,17267,2875,1,0,1,1,1,0,1180.0,5.0,2013.0,0,0.0,0.0,None,2013,1,1,1
335,2,2013-01-01,2401,482,1,0,1,1,1,0,90.0,0.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2013,1,1,1
423,2,2013-01-01,9643,1751,1,0,1,1,1,0,1270.0,5.0,2014.0,0,0.0,0.0,None,2013,1,1,1
769,2,2013-01-01,5035,1248,1,0,1,1,1,1,840.0,0.0,0.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct",2013,1,1,1
562,2,2013-01-01,8498,1675,1,0,1,1,1,2,1210.0,0.0,0.0,0,0.0,0.0,None,2013,1,1,1
676,2,2013-01-01,3821,777,1,0,1,1,1,1,1410.0,9.0,2008.0,0,0.0,0.0,None,2013,1,1,1
682,2,2013-01-01,3375,566,1,0,1,1,1,0,150.0,9.0,2006.0,0,0.0,0.0,None,2013,1,1,1
733,2,2013-01-01,10765,2377,1,0,1,1,1,1,860.0,10.0,1999.0,0,0.0,0.0,None,2013,1,1,1
494,2,2013-01-01,3113,527,1,0,1,1,1,0,1260.0,6.0,2011.0,0,0.0,0.0,None,2013,1,1,1
389,3,2013-01-02,9407,1286,1,0,0,1,0,2,6690.0,8.0,2011.0,0,0.0,0.0,None,2013,1,2,1
390,3,2013-01-02,11193,1104,1,0,0,1,0,2,1600.0,4.0,2009.0,0,0.0,0.0,None,2013,1,2,1
394,3,2013-01-02,6375,553,1,0,0,1,3,0,10850.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
396,3,2013-01-02,11108,1231,1,0,0,1,0,2,23130.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
400,3,2013-01-02,6644,1113,1,0,0,1,0,0,70.0,11.0,2004.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2013,1,2,1
416,3,2013-01-02,9617,1303,1,0,0,1,0,2,4650.0,6.0,2014.0,0,0.0,0.0,None,2013,1,2,1
388,3,2013-01-02,9129,1103,1,0,0,1,0,0,2260.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
421,3,2013-01-02,8721,1081,1,0,0,1,2,2,3530.0,6.0,2012.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec",2013,1,2,1
423,3,2013-01-02,9570,1750,1,0,0,1,1,0,1270.0,5.0,2014.0,0,0.0,0.0,None,2013,1,2,1
431,3,2013-01-02,7960,934,1,0,0,1,3,2,4520.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
411,3,2013-01-02,8200,651,1,0,0,1,3,2,8460.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
387,3,2013-01-02,11662,1636,1,0,0,1,2,0,210.0,0.0,0.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec",2013,1,2,1
383,3,2013-01-02,16225,2180,1,0,0,1,0,2,350.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
432,3,2013-01-02,10165,1595,1,0,0,1,0,0,810.0,5.0,2013.0,0,0.0,0.0,None,2013,1,2,1
381,3,2013-01-02,9317,1016,1,0,0,1,0,0,1800.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2013,1,2,1
380,3,2013-01-02,15658,1633,1,0,0,1,0,0,2240.0,5.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2013,1,2,1
376,3,2013-01-02,8178,1008,1,0,0,1,0,0,160.0,8.0,2012.0,0,0.0,0.0,None,2013,1,2,1
