Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,c,a,1270.0,9,2008,0,,,None
2,a,a,570.0,11,2007,1,13,2010,"Jan,Apr,Jul,Oct"
3,a,a,14130.0,12,2006,1,14,2011,"Jan,Apr,Jul,Oct"
4,c,c,620.0,9,2009,0,,,None
5,a,a,29910.0,4,2015,0,,,None
6,a,a,310.0,12,2013,0,,,None
7,a,c,24000.0,4,2013,0,,,None
8,a,a,7520.0,10,2014,0,,,None
9,a,c,2030.0,8,2000,0,,,None
10,a,a,3160.0,9,2009,0,,,None
11,a,c,960.0,11,2011,1,1,2012,"Jan,Apr,Jul,Oct"
12,a,c,1070.0,,,1,13,2010,"Jan,Apr,Jul,Oct"
13,d,a,310.0,,,1,45,2009,"Feb,May,Aug,Nov"
14,a,a,1300.0,3,2014,1,40,2011,"Jan,Apr,Jul,Oct"
15,d,c,4110.0,3,2010,1,14,2011,"Jan,Apr,Jul,Oct"
16,a,c,3270.0,,,0,,,None
17,a,a,50.0,12,2005,1,26,2010,"Jan,Apr,Jul,Oct"
18,d,c,13840.0,6,2010,1,14,2012,"Jan,Apr,Jul,Oct"
19,a,c,3240.0,,,1,22,2011,"Mar,Jun,Sept,Dec"
20,d,a,2340.0,5,2009,1,40,2014,"Jan,Apr,Jul,Oct"
21,c,c,550.0,10,1999,1,45,2009,"Jan,Apr,Jul,Oct"
22,a,a,1040.0,,,1,22,2012,"Jan,Apr,Jul,Oct"
23,d,a,4060.0,8,2005,0,,,None
24,a,c,4590.0,3,2000,1,40,2011,"Jan,Apr,Jul,Oct"
25,c,a,430.0,4,2003,0,,,None
26,d,a,2300.0,,,0,,,None
27,a,a,60.0,1,2005,1,5,2011,"Jan,Apr,Jul,Oct"
28,a,a,1200.0,10,2014,1,6,2015,"Mar,Jun,Sept,Dec"
29,d,c,2170.0,,,0,,,None
30,a,a,40.0,2,2014,1,10,2014,"Mar,Jun,Sept,Dec"
31,d,c,9800.0,7,2012,0,,,None
32,a,a,2910.0,,,1,45,2009,"Feb,May,Aug,Nov"
33,a,c,1320.0,5,2013,0,,,None
34,c,a,2240.0,9,2009,0,,,None
35,d,c,7660.0,10,2000,1,1,2012,"Jan,Apr,Jul,Oct"
36,a,c,540.0,6,2003,1,40,2014,"Jan,Apr,Jul,Oct"
37,c,a,4230.0,12,2014,0,,,None
38,d,a,1090.0,4,2007,0,,,None
39,a,a,260.0,10,2006,1,31,2013,"Feb,May,Aug,Nov"
40,a,a,180.0,,,1,45,2009,"Feb,May,Aug,Nov"
41,d,c,1180.0,,,1,31,2013,"Jan,Apr,Jul,Oct"
42,a,c,290.0,,,1,40,2011,"Jan,Apr,Jul,Oct"
43,d,a,4880.0,,,1,37,2009,"Jan,Apr,Jul,Oct"
44,a,a,540.0,6,2011,0,,,None
45,d,a,9710.0,2,2014,0,,,None
46,c,a,1200.0,9,2005,1,14,2011,"Jan,Apr,Jul,Oct"
47,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct"
48,a,a,1060.0,5,2012,0,,,None
49,d,c,18010.0,9,2007,0,,,None
50,d,a,6260.0,11,2009,0,,,None
51,a,c,10570.0,7,2013,1,9,2011,"Jan,Apr,Jul,Oct"
52,d,c,450.0,4,2014,1,39,2010,"Jan,Apr,Jul,Oct"
53,a,c,30360.0,9,2013,0,,,None
